utterance_id	asr_transcript
kempler04a-VNT15-deliver	
thompson02a-BNT06-volcano	AA K  T AH P UH <UNK>
adler20a-VNT18-throw	AH F AA  T AH  AY D AY N AA N
tap13a-VNT18-throw	AW
elman12a-VNT12-stir	
whiteside09a-VNT19-bite	B AY T IH NG
tap06a-VNT14-crawl	V AA
scale24a-VNT14-crawl	OW AA K  AE AY
thompson07a-VNT03-put	
elman14a-VNT17-howl	HH AW S
thompson10a-VNT08-laugh	R  AE F IH NG
tap18a-BNT02-comb	K OW M
kansas15a-VNT02-bark	K T
elman02a-BNT01-house	HH AW S
williamson04a-VNT21-tickle	T  AY AH
scale04a-VNT09-watch	
whiteside12a-BNT01-house	K  R AO L
kempler02a-VNT03-put	
whiteside14a-VNT17-howl	K  AE K AH P AO R
tap19a-VNT16-pour	
tcu03a-VNT11-swim	K  AE AA T OW
wright204a-VNT08-laugh	HH IY Z  R AA F IH N HH AA
fridriksson02a-BNT14-sphinx	M  AE R  IH N
whiteside02a-VNT04-send	T
whiteside07a-BNT14-sphinx	AW S  P UH CH
wright202a-VNT15-deliver	AA K  T
adler02a-BNT02-comb	K OW M
adler10a-VNT04-send	P OW S  T AA F IH NG
scale08a-VNT21-tickle	SH AH L T AY M  Z
scale38a-VNT13-pinch	
kansas17a-BNT02-comb	G  R AY N
williamson12a-BNT05-bench	B EH N CH
tap06a-BNT03-toothbrush	K OW M
fridriksson02a-VNT13-pinch	P IH SH
williamson14a-VNT07-read	SH IH NG IH NG
thompson02a-BNT15-palette	T UW
fridriksson06a-VNT08-laugh	R AA F IH NG
ACWT11a-BNT02-comb	K OW M
tap18a-VNT18-throw	B EH CH
ACWT02a-BNT07-canoe	P  AE L ER
scale13a-BNT04-octopus	G  L EY  B  AE N  Z
ACWT11a-VNT09-watch	T T  T
scale04a-VNT18-throw	
tap09a-VNT21-tickle	
ACWT02a-BNT01-house	HH AY S
scale30a-VNT08-laugh	D EY R  L  AE F IH N
kansas15a-BNT13-tripod	IY Z AH L
kansas16a-VNT22-shave	
tcu05a-VNT08-laugh	L  AE F IH NG
elman02a-VNT15-deliver	T
williamson12a-BNT07-canoe	Y UW N
scale08a-BNT14-sphinx	S  F IH NG K  S
thompson10a-BNT07-canoe	K AH N UW
tap19a-VNT03-put	HH AW L
thompson14a-BNT09-cactus	K AA K  T AH S
ACWT02a-VNT10-give	K T
tap18a-VNT16-pour	
kansas17a-BNT02-comb	G  R AY N
kempler02a-VNT20-shove	T
kempler04a-VNT20-shove	S AH M IH NG S  T AH
elman10a-VNT04-send	M EY L IH NG
tcu05a-VNT18-throw	SH  AE L IH NG
BU07a-VNT18-throw	
kansas13a-VNT07-read	S
scale04a-VNT03-put	AE T
whiteside14a-VNT01-cut	OW AA  T AH K AA  S
kempler02a-VNT03-put	
ACWT11a-VNT13-pinch	P IH EY N  D
thompson14a-VNT02-bark	T
ACWT10a-BNT01-house	HH AW S
scale33a-VNT08-laugh	P AA K P IY
ACWT11a-VNT06-wash	K  M  AE
tucson20a-VNT18-throw	
adler10a-VNT12-stir	L UH D AH N IH
tcu03a-BNT15-palette	P EY N  T IH NG
kansas13a-VNT13-pinch	K AH T IH NG
thompson07a-VNT17-howl	HH AW L
scale24a-VNT19-bite	
scale24a-VNT09-watch	K  AE K  T AH K
elman12a-VNT12-stir	
kempler03a-VNT11-swim	W AA S  W IH M IH NG
ACWT11a-BNT08-beaver	P UW M
scale06a-BNT04-octopus	AA K  T AH P UH S
thompson08a-VNT22-shave	SH EY V IH NG
tcu03a-VNT21-tickle	
adler10a-BNT15-palette	IY AH L
kempler02a-VNT07-read	T
tcu08a-VNT02-bark	B AA B AA R  K IH NG
williamson04a-BNT05-bench	W M
williamson04a-VNT17-howl	AW
ACWT09a-BNT09-cactus	P AA K IH NG
kempler02a-BNT08-beaver	S AH P M IH
kempler02a-VNT19-bite	
kempler02a-BNT02-comb	K OW M
whiteside15a-VNT02-bark	
whiteside02a-VNT09-watch	P OW N CH
tap09a-VNT01-cut	
elman11a-VNT13-pinch	HH EH N
scale04a-VNT22-shave	
whiteside14a-VNT18-throw	
ACWT12a-VNT04-send	T T
fridriksson09a-BNT13-tripod	T  R AH M  P AA D
elman12a-BNT08-beaver	M  AE UW
scale33a-VNT10-give	G IH V  M IY AH
tap07a-VNT09-watch	T T
thompson10a-VNT10-give	AW S  L IH NG
thompson07a-BNT10-hammock	HH  AE M AH K
kansas16a-VNT12-stir	
ACWT12a-VNT22-shave	SH EY V IH NG
adler02a-VNT01-cut	
kempler03a-VNT02-bark	B AY T
ACWT02a-VNT08-laugh	L  AE CH IH N
elman12a-VNT06-wash	AH CH
kempler03a-BNT03-toothbrush	T UW TH B  R AH SH
tucson20a-VNT17-howl	HH AW L IH NG  AE T DH AH W IH N  D
tap13a-VNT16-pour	D  R IH NG K
adler20a-BNT03-toothbrush	T UW TH B  R AH SH
fridriksson09a-VNT16-pour	OW M
kansas23a-VNT13-pinch	T T
kansas17a-BNT03-toothbrush	T UW TH B R AH SH
williamson14a-VNT19-bite	B OW N T
tcu07a-VNT12-stir	T
whiteside14a-VNT19-bite	
elman11a-VNT22-shave	IH T SH EY V IH NG
tap18a-VNT20-shove	P UH SH IH NG
tap09a-VNT05-drive	
elman12a-VNT20-shove	AH
tap18a-BNT01-house	S AH HH AW S
thompson14a-BNT02-comb	K  R AO L
fridriksson09a-BNT08-beaver	B IY V ER
adler01a-VNT07-read	AH R IY D IH D N
whiteside01a-VNT20-shove	OW  AE S  AA N AA S  OW
kansas16a-VNT19-bite	
scale30a-VNT15-deliver	T T
tap12a-VNT03-put	T  T T  T
thompson02a-VNT16-pour	B P  UH
kansas16a-VNT17-howl	T
tap18a-VNT16-pour	
scale06a-VNT12-stir	P IH CH ER
ACWT10a-VNT04-send	M AA AY OW
wright203a-BNT02-comb	K AO R
ACWT02a-BNT06-volcano	AH T EH L
wright202a-VNT05-drive	
adler01a-BNT02-comb	K  UW M
scale04a-VNT04-send	M AA R  K S IH NG
tap07a-BNT09-cactus	AA K  T AH P UH S
kansas13a-BNT09-cactus	B AA T AH
scale33a-VNT12-stir	M AA HH OW AA
whiteside01a-VNT14-crawl	
kempler02a-VNT09-watch	
whiteside15a-BNT12-unicorn	L UW  N AH K AO R  N
tcu03a-VNT10-give	
thompson11a-VNT03-put	
adler10a-VNT04-send	P OW S  T AA F IH NG
tcu03a-BNT09-cactus	K  AE K  T AH S
whiteside15a-BNT14-sphinx	B IH NG K
whiteside07a-VNT14-crawl	K  R AO L
williamson12a-BNT01-house	HH AW S
scale20a-VNT03-put	AA N N  AE T
fridriksson06a-BNT15-palette	M UW N NG K AA R
tcu05a-BNT02-comb	K OW M
tcu05a-BNT07-canoe	AH K N UW
fridriksson06a-BNT11-stethoscope	AH CH EH S  T
kempler03a-VNT10-give	
kansas15a-VNT15-deliver	
scale23a-BNT15-palette	P EY N  T
thompson08a-BNT08-beaver	B IY ER
tap13a-BNT01-house	HH AW S
thompson14a-BNT03-toothbrush	K IH K  T AA SH
ACWT02a-VNT15-deliver	T T T
cmu03a-VNT22-shave	OW AH SH EY V IH NG
kansas15a-BNT15-palette	P  AE L AH T
elman10a-VNT09-watch	W AA CH IH NG T IH AH IH
ACWT11a-BNT15-palette	P ER
fridriksson09a-VNT22-shave	CH EY V IH NG
fridriksson09a-BNT09-cactus	K AH CH ER
ACWT09a-VNT08-laugh	L  AE F IH N
ACWT02a-BNT12-unicorn	P  R AA AY
tap19a-VNT21-tickle	L  AE F IH NG
tap06a-VNT22-shave	Y  AE DH AH N
whiteside15a-BNT07-canoe	G AH N UW
ACWT11a-BNT08-beaver	P UW M
whiteside12a-VNT08-laugh	L  AE F IH NG
williamson14a-VNT02-bark	B AA R  K IH NG
whiteside15a-VNT03-put	CH
fridriksson09a-VNT19-bite	B AY DX IH NG
scale06a-BNT05-bench	B EH N CH
thompson07a-VNT18-throw	K EH N CH
thompson14a-BNT02-comb	K  R AO L
thompson14a-VNT10-give	
scale08a-VNT08-laugh	HH IY Z  L  AE F IH NG
wright202a-VNT05-drive	
whiteside01a-VNT14-crawl	
tap09a-BNT15-palette	AA R  T IH S  T
thompson11a-VNT22-shave	
elman10a-VNT13-pinch	
scale30a-VNT14-crawl	HH AW
kansas16a-VNT06-wash	
kansas11a-VNT04-send	P AA K AH N T
tap04a-VNT05-drive	IH T S  T AA M  AH
whiteside15a-BNT07-canoe	G AH N UW
kansas11a-VNT16-pour	HH AW S
ACWT09a-BNT01-house	P EY R L IH JH
elman12a-BNT02-comb	K OW M
fridriksson06a-BNT14-sphinx	IH T
wright204a-VNT17-howl	OW P AA N R AH M
adler20a-VNT16-pour	AH T  AE T
fridriksson02a-VNT15-deliver	F AA N IH M IH N IY
whiteside12a-BNT15-palette	P OW M
thompson02a-BNT10-hammock	HH  AE M AH K
adler20a-VNT15-deliver	T
scale23a-VNT19-bite	
tcu05a-VNT06-wash	R AA S IH N  B AA B AH Z AH L
tap04a-VNT04-send	M EY L IH N EY L EH DX ER
kansas13a-VNT13-pinch	K AH T IH NG
kansas16a-VNT17-howl	T
tap12a-VNT22-shave	SH SH EY V IH N
elman14a-BNT01-house	HH OW M
whiteside02a-BNT09-cactus	K AA R  P  S IY
elman12a-VNT13-pinch	
ACWT11a-VNT22-shave	T T
thompson02a-VNT16-pour	B P  UH
scale38a-BNT02-comb	K OW M
scale06a-BNT01-house	AH HH AW S
wright203a-VNT10-give	AH AY F EH Z N  T
ACWT09a-BNT01-house	P EY R L IH JH
elman12a-VNT09-watch	HH  AE
ACWT11a-BNT01-house	HH AW S
tcu03a-VNT01-cut	AH F EH S
fridriksson06a-VNT08-laugh	R AA F IH NG
whiteside01a-VNT06-wash	AA K IH
williamson14a-VNT06-wash	R AA SH AH B AA SH AH  L UH <UNK>
tucson20a-VNT11-swim	TH R W IH N IH NG
scale33a-BNT10-hammock	HH  AE M AH K
whiteside01a-VNT17-howl	
kansas16a-VNT22-shave	
fridriksson02a-VNT20-shove	S  W M
fridriksson02a-VNT05-drive	D  R AY V IH N
tap09a-VNT05-drive	
adler01a-BNT03-toothbrush	T UW TH B  R AH SH
fridriksson06a-VNT07-read	
whiteside07a-BNT15-palette	P  AE L AH T
scale33a-VNT15-deliver	K K CH
tcu05a-BNT06-volcano	B AA R  K UW M
kansas09a-BNT11-stethoscope	S  EH K AH P
cmu03a-BNT04-octopus	S  K  W IH D
kansas16a-VNT09-watch	
wright202a-VNT01-cut	OW AY TH IH N  Z
whiteside14a-VNT17-howl	K  AE K AH P AO R
wright204a-VNT02-bark	DH EY R HH IY Z  B AA R  K IH NG
adler01a-VNT08-laugh	CH
scale08a-VNT06-wash	OW P AH R IH N
scale04a-BNT09-cactus	HH AW L
tap18a-VNT10-give	
scale06a-VNT05-drive	D  R AY V IH NG
tap12a-VNT04-send	T  T  T
tcu05a-BNT04-octopus	AH N AA K  T AH P UH S
wright204a-BNT10-hammock	HH  AE M AH K
thompson10a-VNT19-bite	AA HH AW S
adler01a-VNT14-crawl	AE K T AH P UH S
scale30a-VNT21-tickle	S  M EY L IH NG
whiteside07a-VNT14-crawl	K  R AO L
scale04a-VNT02-bark	AH
adler01a-BNT11-stethoscope	AH S EH TH AH S  K OW P
adler02a-VNT09-watch	
williamson14a-VNT08-laugh	L  AE F IH NG
williamson14a-BNT02-comb	K OW M
BU07a-VNT13-pinch	
tap13a-VNT05-drive	D  R  AE V IH NG
williamson03a-VNT11-swim	K
wright203a-BNT14-sphinx	F IH N IH K  S
tucson20a-VNT14-crawl	G OW IH NG AH L EY
fridriksson02a-VNT21-tickle	P IH K AH L AH N
kansas16a-VNT06-wash	
scale20a-BNT02-comb	K OW M
kempler04a-VNT11-swim	
thompson14a-VNT01-cut	P OW N W AH L L
kansas13a-VNT10-give	B AA HH AA <UNK>
ACWT12a-BNT04-octopus	M  AE S  P AH
elman14a-BNT06-volcano	V AA CH IH N
whiteside01a-VNT11-swim	T UW
tcu07a-VNT05-drive	OW M HH AW M
ACWT09a-BNT06-volcano	B AA R  P AA
ACWT11a-VNT05-drive	T
fridriksson09a-BNT10-hammock	AY M UW N
kansas15a-VNT19-bite	T T T T
elman02a-VNT09-watch	K T
cmu03a-VNT03-put	HH AW S
scale13a-BNT01-house	HH AW S
fridriksson09a-VNT21-tickle	K IH K AH N IH NG
scale38a-VNT14-crawl	T
elman12a-VNT19-bite	HH AW S
whiteside12a-BNT05-bench	B EH D
kansas11a-BNT07-canoe	K AH N UW
whiteside01a-VNT17-howl	
kansas13a-VNT18-throw	T
thompson08a-BNT13-tripod	T AA
whiteside12a-BNT10-hammock	L EH M AH N  Y EH S
thompson10a-VNT05-drive	D AY V IH NG
elman10a-VNT12-stir	F IH N
ACWT11a-BNT15-palette	P ER
elman11a-VNT08-laugh	T
kempler02a-VNT14-crawl	AE K  N OW P
scale04a-VNT13-pinch	AH
scale30a-BNT05-bench	P AO R
wright202a-VNT04-send	N AW AH L  AE
elman14a-VNT12-stir	K AH T T
elman08a-VNT07-read	
thompson02a-VNT18-throw	K  AE T
kansas15a-VNT15-deliver	
whiteside01a-VNT06-wash	AA K IH
ACWT10a-VNT14-crawl	P  R ER N
kansas16a-VNT18-throw	
kansas15a-VNT17-howl	T
tap17a-VNT06-wash	T T
williamson12a-VNT12-stir	D  AE S
elman08a-VNT07-read	
thompson02a-BNT14-sphinx	S  P M
scale08a-VNT10-give	T
kansas13a-VNT18-throw	T
tap07a-VNT02-bark	B AA R  K
wright203a-VNT18-throw	DH AH D AA D AH Z  M AY K IH N
thompson08a-BNT07-canoe	K AH N N UW
kansas13a-VNT20-shove	K  T AH
williamson04a-VNT08-laugh	T EY B UH K
thompson10a-VNT12-stir	S  T IH NG
kempler03a-VNT02-bark	B AY T
tap12a-VNT14-crawl	HH IY  T EH L IH NG Z
tap09a-VNT13-pinch	T  T T
tap04a-VNT04-send	M EY L IH N EY L EH DX ER
scale13a-VNT04-send	
scale20a-VNT19-bite	W AA T IH NG
tucson20a-VNT11-swim	TH R W IH N IH NG
thompson02a-VNT10-give	G IH V IH NG
kansas15a-BNT07-canoe	K AH N UW
kempler04a-BNT03-toothbrush	AE T  AH P AH
kansas15a-BNT09-cactus	T  AE K  S IH Z
tcu05a-VNT13-pinch	P EH N CH
tcu03a-VNT06-wash	
BU07a-VNT02-bark	R  AE L IH T
scale30a-BNT07-canoe	AO R  B ER
elman08a-VNT13-pinch	
fridriksson09a-BNT02-comb	K OW M
tucson20a-VNT15-deliver	M EY L L M AH L EH DX ER
thompson14a-VNT07-read	F AA AW
elman12a-BNT02-comb	K OW M
williamson03a-VNT16-pour	W AY R AY D IH NG D IH
thompson07a-VNT15-deliver	
ACWT10a-VNT17-howl	W EH M AH
tap06a-VNT19-bite	AA K AH HH AW S
whiteside14a-VNT03-put	
kempler02a-VNT01-cut	T
thompson08a-BNT07-canoe	K AH N N UW
whiteside12a-VNT05-drive	B IH N AH K AA R
whiteside01a-VNT12-stir	K
elman02a-VNT04-send	OW
scale06a-VNT16-pour	P IH CH ER
scale08a-VNT06-wash	OW P AH R IH N
kansas15a-BNT07-canoe	K AH N UW
tap04a-BNT05-bench	B EH N CH
cmu03a-BNT15-palette	M EY R AH W IH N
elman10a-VNT13-pinch	
tap18a-VNT20-shove	P UH SH IH NG
tcu03a-VNT08-laugh	
kansas16a-VNT11-swim	
elman08a-VNT04-send	OW AH  F AA L IH NG
elman08a-VNT01-cut	K  AE T
elman10a-VNT17-howl	D AA G  Z  B AA R  K IH NG
scale20a-BNT03-toothbrush	AA K HH AW S
thompson08a-VNT08-laugh	L  AE F IH NG
whiteside15a-VNT12-stir	T
ACWT12a-BNT01-house	IH T  S AH HH AW S
elman12a-BNT05-bench	P IH N CH
kansas15a-BNT15-palette	P  AE L AH T
wright204a-VNT18-throw	K AH T AH
elman14a-VNT11-swim	T AA T
tap06a-VNT15-deliver	T AH T IH NG
elman14a-BNT01-house	HH OW M
thompson14a-BNT06-volcano	S OW K AA T
scale13a-VNT22-shave	
thompson02a-VNT05-drive	T AY
kansas16a-VNT20-shove	T
adler02a-VNT13-pinch	
whiteside15a-VNT04-send	
wright202a-VNT16-pour	K T IH
elman02a-VNT08-laugh	
elman10a-VNT06-wash	W AA SH IH NG
whiteside14a-BNT01-house	HH AW S
whiteside07a-BNT05-bench	S  P  R IH N CH
wright202a-VNT20-shove	AY N AA  OW
tap04a-VNT19-bite	DH IH S  AH  S IH NG
adler02a-VNT19-bite	T
scale06a-VNT04-send	
whiteside15a-VNT06-wash	P AA R D IH NG
fridriksson02a-VNT17-howl	HH AW L IH N
elman02a-BNT11-stethoscope	SH IH K AH HH OW P
whiteside12a-VNT11-swim	S  W IH M IH NG
adler01a-BNT07-canoe	K OW M
kansas13a-BNT04-octopus	AA T  S AH P AA
kempler03a-VNT11-swim	W AA S  W IH M IH NG
thompson14a-VNT05-drive	D AW L IH NG AA L  AY
scale38a-VNT03-put	T T  T  T
ACWT09a-VNT03-put	T P  AE S  T T
tap18a-VNT16-pour	
fridriksson02a-VNT22-shave	SH IY V ER
tap12a-BNT01-house	AH HH AW S
thompson10a-BNT10-hammock	HH  AE M AH K
wright202a-VNT12-stir	T
scale04a-VNT04-send	M AA R  K S IH NG
kempler04a-VNT04-send	
kempler02a-VNT21-tickle	S AH AA  L
adler02a-BNT05-bench	CH EY R
fridriksson02a-VNT01-cut	T ER IH N
wright204a-VNT06-wash	L  AE F IH N  D OW <UNK>
whiteside15a-VNT12-stir	T
BU07a-VNT19-bite	
tucson20a-VNT22-shave	SH EY V IH NG
scale13a-BNT01-house	HH AW S
BU07a-VNT20-shove	
williamson12a-VNT20-shove	B UH SH
kempler03a-BNT01-house	HH AW S
ACWT09a-BNT10-hammock	HH AW S
adler01a-BNT14-sphinx	S  F P  R IH N CH
tcu08a-BNT04-octopus	AH HH AW S
kansas17a-VNT21-tickle	T T
ACWT09a-VNT14-crawl	
whiteside07a-VNT21-tickle	T  UW TH K AO R N
tap13a-VNT22-shave	SH EY V IH NG
tap04a-VNT22-shave	SH EY V IH NG
williamson14a-BNT15-palette	IY Z AH L
adler20a-VNT04-send	
fridriksson02a-VNT05-drive	D  R AY V IH N
whiteside02a-VNT09-watch	P OW N CH
scale13a-VNT01-cut	OW S  F AA K AH IH NG
williamson03a-VNT17-howl	
williamson03a-BNT05-bench	B UW M
williamson14a-VNT03-put	HH OW L  D IH NG HH AW L  D IH NG
tap07a-VNT04-send	P AY T
adler10a-BNT02-comb	K OW M
tap07a-VNT20-shove	AY D OW N  N OW
whiteside15a-VNT18-throw	TH R OW IH NG
ACWT12a-VNT09-watch	R AY AY  T
tcu08a-VNT12-stir	
ACWT09a-VNT08-laugh	L  AE F IH N
kempler03a-VNT13-pinch	P IH N CH IH N
williamson03a-VNT03-put	
kempler03a-VNT21-tickle	OW T
tap13a-VNT21-tickle	CH IH K AH L IH NG
whiteside02a-BNT09-cactus	K AA R  P  S IY
tcu07a-VNT11-swim	
tcu05a-VNT22-shave	SH EY V IH NG
elman12a-VNT02-bark	B AA R  K IH NG
whiteside14a-VNT10-give	
ACWT02a-VNT18-throw	L  AE F IH NG
kansas13a-VNT18-throw	T
elman14a-BNT07-canoe	K  AE N OW
elman12a-BNT01-house	IH T  S AH HH AW S
