utterance_id	asr_transcript
adler02a-VNT09-watch	
adler02a-VNT10-give	T
adler02a-VNT12-stir	T
adler02a-VNT13-pinch	
adler02a-VNT14-crawl	K  L IH NG  L IH NG N AW T
adler02a-VNT15-deliver	
adler02a-VNT16-pour	HH OW K IH N IY
adler02a-VNT17-howl	W AA CH T
adler02a-VNT18-throw	
adler02a-VNT19-bite	T
adler02a-VNT20-shove	
adler02a-VNT21-tickle	AA R
adler10a-BNT01-house	HH AW S
adler10a-BNT02-comb	K OW M
adler10a-BNT03-toothbrush	T UW TH T AA  S
adler10a-BNT04-octopus	AH L  AE F  AH V AH N
adler10a-BNT06-volcano	K AY HH AW R  T
adler10a-BNT09-cactus	K  AE K  T AH S
adler10a-BNT10-hammock	AA K AH
adler10a-BNT11-stethoscope	D AA K  T ER
adler10a-BNT15-palette	IY AH L
adler10a-VNT02-bark	T  T
adler10a-VNT03-put	EH L IH NG
adler10a-VNT04-send	P OW S  T AA F IH NG
adler10a-VNT05-drive	D  R AY V IH N
adler10a-VNT06-wash	K T
adler10a-VNT07-read	F AA S HH OW M
adler10a-VNT09-watch	T IY V IY
adler10a-VNT10-give	B AA R  S M
adler10a-VNT11-swim	S  W IH M IH N
adler10a-VNT12-stir	L UH D AH N IH
adler10a-VNT13-pinch	T
adler10a-VNT14-crawl	
adler10a-VNT16-pour	D  R IH NG K
adler10a-VNT17-howl	AH M
adler10a-VNT18-throw	
adler10a-VNT19-bite	T  T
adler10a-VNT20-shove	P AW S AH N
adler10a-VNT21-tickle	L  AE F IH N
adler10a-VNT22-shave	SH EY V IH N
adler20a-BNT01-house	IH T  S AH HH AW S
adler20a-BNT02-comb	G  R AA HH AO R  N
adler20a-BNT03-toothbrush	T UW TH B  R AH SH
adler20a-BNT04-octopus	AY  S AA T  S AH P R IH SH IH N  T
adler20a-BNT05-bench	UW AH L
adler20a-BNT06-volcano	V OW K EY N OW
adler20a-BNT07-canoe	G AH N UW
adler20a-BNT08-beaver	DH  AE T  S AH M AY S
adler20a-BNT09-cactus	AA K  T AH S
adler20a-BNT10-hammock	HH AW S T
adler20a-BNT11-stethoscope	S EH CH ER P AH L SH
adler20a-BNT12-unicorn	IH M IH K AO R  N
adler20a-VNT01-cut	
adler20a-VNT02-bark	
adler20a-VNT03-put	
adler20a-VNT04-send	
adler20a-VNT05-drive	HH IY Z  R AY D IH N AA N DH AH S  T  R IY NG T
adler20a-VNT06-wash	AY AY  T
adler20a-VNT07-read	
adler20a-VNT08-laugh	HH IY Z  L  AE F IH N
adler20a-VNT09-watch	
adler20a-VNT10-give	K  AE T
adler20a-VNT11-swim	T  S AA
adler20a-VNT12-stir	HH AW
adler20a-VNT13-pinch	SH IY  T  R AH Z AH N  T
adler20a-VNT14-crawl	EH L AH Z  AY
adler20a-VNT15-deliver	T
adler20a-VNT16-pour	AH T  AE T
adler20a-VNT17-howl	
adler20a-VNT18-throw	AH F AA  T AH  AY D AY N AA N
adler20a-VNT19-bite	
adler20a-VNT20-shove	S  T AH
adler20a-VNT21-tickle	
adler20a-VNT22-shave	IH T  S AH HH AW
cmu03a-BNT01-house	AH HH AW S
cmu03a-BNT02-comb	K OW M
cmu03a-BNT03-toothbrush	T UW TH B  R AH SH
cmu03a-BNT04-octopus	S  K  W IH D
cmu03a-BNT05-bench	B EH N CH
cmu03a-BNT06-volcano	AH V AA L  K EY N OW
cmu03a-BNT07-canoe	K AH N UW
cmu03a-BNT08-beaver	B IY Z ER
cmu03a-BNT09-cactus	K  AE K  T AH S
cmu03a-BNT10-hammock	AH S  W IH NG
cmu03a-BNT11-stethoscope	M EH K  L AH S  K OW P
cmu03a-BNT12-unicorn	AH Y UW N IH K AO R  N
cmu03a-BNT13-tripod	T  R AY P AA D
cmu03a-BNT14-sphinx	AH S F IH NG K  S
cmu03a-BNT15-palette	M EY R AH W IH N
cmu03a-VNT01-cut	K AH DX IH NG
cmu03a-VNT02-bark	B AA R  K IH NG
cmu03a-VNT03-put	HH AW S
cmu03a-VNT04-send	AW
cmu03a-VNT05-drive	D  R IH NG K IH N K AA D
cmu03a-VNT06-wash	AH S AH M HH AW S
cmu03a-VNT07-read	K AH AH
cmu03a-VNT08-laugh	L  AE F IH NG
cmu03a-VNT09-watch	AY  Z AA HH AA
cmu03a-VNT10-give	HH AW S
cmu03a-VNT11-swim	S  L IH M IH N
cmu03a-VNT12-stir	M IH K  S IH NG
cmu03a-VNT13-pinch	P IH N CH IH N
cmu03a-VNT14-crawl	HH AW
cmu03a-VNT15-deliver	T
cmu03a-VNT16-pour	
cmu03a-VNT17-howl	HH  AE IH NG M IH
cmu03a-VNT18-throw	K T
cmu03a-VNT19-bite	B AY DX IH NG
cmu03a-VNT20-shove	SH AH V IH NG
cmu03a-VNT21-tickle	AH M K AH P
cmu03a-VNT22-shave	OW AH SH EY V IH NG
elman02a-BNT01-house	HH AW S
elman02a-BNT02-comb	K AO R  N
elman02a-BNT03-toothbrush	IY SH R OW P
elman02a-BNT05-bench	B IH
elman02a-BNT07-canoe	T IH N AH K  R UW
elman02a-BNT11-stethoscope	SH IH K AH HH OW P
elman02a-VNT01-cut	T
elman02a-VNT02-bark	
elman02a-VNT03-put	T
elman02a-VNT04-send	OW
elman02a-VNT05-drive	T EH <UNK> N
elman02a-VNT06-wash	
elman02a-VNT07-read	T
elman02a-VNT08-laugh	
elman02a-VNT09-watch	K T
elman02a-VNT10-give	AW
elman02a-VNT11-swim	
elman02a-VNT12-stir	
elman02a-VNT13-pinch	T TH
elman02a-VNT14-crawl	
elman02a-VNT15-deliver	T
elman02a-VNT16-pour	T K AH T
elman02a-VNT17-howl	
elman02a-VNT18-throw	
elman02a-VNT19-bite	
elman02a-VNT20-shove	P UH SH IH NG
elman02a-VNT21-tickle	W AH M AY
elman02a-VNT22-shave	
elman08a-BNT01-house	AH M P AW S  T
elman08a-BNT02-comb	P  R AY N  Z
elman08a-BNT04-octopus	S EH P AH N AY M
elman08a-BNT11-stethoscope	P  R EH D
elman08a-BNT13-tripod	AA S AH  P UH
elman08a-VNT01-cut	K  AE T
elman08a-VNT02-bark	P AY AH
elman08a-VNT03-put	
elman08a-VNT04-send	OW AH  F AA L IH NG
elman08a-VNT05-drive	AA AH
elman08a-VNT06-wash	AY  L IH NG
elman08a-VNT07-read	
elman08a-VNT08-laugh	AH K
elman08a-VNT09-watch	
elman08a-VNT10-give	T
elman08a-VNT11-swim	
elman08a-VNT12-stir	AE SH IH M
elman08a-VNT13-pinch	
elman08a-VNT14-crawl	L AA K  AH OW
elman08a-VNT15-deliver	
elman08a-VNT16-pour	L  AE N IH T  P  R EH
elman08a-VNT17-howl	
elman08a-VNT18-throw	AE T
elman08a-VNT19-bite	AH SH T AH
elman08a-VNT20-shove	HH AW S
elman08a-VNT21-tickle	
elman08a-VNT22-shave	
elman10a-BNT01-house	T AH HH AW S
elman10a-BNT02-comb	T EH L IH Z IH N
elman10a-BNT05-bench	B EH N CH
elman10a-BNT08-beaver	P AA R K
elman10a-BNT09-cactus	K AH T
elman10a-BNT10-hammock	HH AA M AH K
elman10a-VNT01-cut	K AH DX IH NG
elman10a-VNT02-bark	B AO IH
elman10a-VNT04-send	M EY L IH NG
elman10a-VNT05-drive	S  T AA P IH NG
elman10a-VNT06-wash	W AA SH IH NG
elman10a-VNT07-read	S EH L IH NG
elman10a-VNT08-laugh	L  AE F IH NG
elman10a-VNT09-watch	W AA CH IH NG T IH AH IH
elman10a-VNT10-give	R AY P AA
elman10a-VNT11-swim	AH M S AH M IH NG
elman10a-VNT12-stir	F IH N
elman10a-VNT13-pinch	
elman10a-VNT14-crawl	HH AW L IH NG
elman10a-VNT15-deliver	AE N
elman10a-VNT16-pour	D  R AY V IH NG
elman10a-VNT17-howl	D AA G  Z  B AA R  K IH NG
elman10a-VNT18-throw	P AA R IH N AH AA K T AH B AA R  K
elman10a-VNT19-bite	B  R AA IH N DH AH B AA R  M K
elman10a-VNT20-shove	HH AH
elman10a-VNT21-tickle	HH AH M  K OW M
elman10a-VNT22-shave	SH EY V IH NG
elman11a-BNT01-house	AH HH AW S
elman11a-BNT02-comb	K OW M
elman11a-BNT03-toothbrush	B  R AH IH M
elman11a-BNT04-octopus	S  K  W IH M
elman11a-BNT05-bench	B EH N CH
elman11a-BNT06-volcano	V AA L  K EY N OW
elman11a-BNT07-canoe	K AH N UW
elman11a-BNT08-beaver	B IY V ER
elman11a-BNT09-cactus	K  AE K  K AH S
elman11a-BNT15-palette	IY Z AH L
elman11a-VNT01-cut	T AA K  T AH NG
elman11a-VNT02-bark	B AA R  K IH NG
elman11a-VNT03-put	K AA
elman11a-VNT04-send	B AY T OW
elman11a-VNT05-drive	D  R AY V IH NG
elman11a-VNT06-wash	T T T
elman11a-VNT07-read	T
elman11a-VNT08-laugh	T
elman11a-VNT09-watch	
elman11a-VNT10-give	B  R AY
elman11a-VNT11-swim	W OW S  W IH M IH NG
elman11a-VNT12-stir	
elman11a-VNT13-pinch	HH EH N
elman11a-VNT14-crawl	K  R AO L IH NG
elman11a-VNT15-deliver	T S
elman11a-VNT16-pour	AH B AA R  K IH NG
elman11a-VNT17-howl	T
elman11a-VNT18-throw	T T
elman11a-VNT19-bite	K IH T
elman11a-VNT20-shove	P UH T IH NG AH L EY
elman11a-VNT21-tickle	T
elman11a-VNT22-shave	IH T SH EY V IH NG
elman12a-BNT01-house	IH T  S AH HH AW S
elman12a-BNT02-comb	K OW M
elman12a-BNT04-octopus	AA K  T AH P UH S
elman12a-BNT05-bench	P IH N CH
elman12a-BNT08-beaver	M  AE UW
elman12a-BNT09-cactus	K  AE S  T IH K
elman12a-BNT14-sphinx	S  P  L IH SH
elman12a-VNT01-cut	
elman12a-VNT02-bark	B AA R  K IH NG
elman12a-VNT03-put	AW M IH N T
elman12a-VNT04-send	T  T T
elman12a-VNT06-wash	AH CH
elman12a-VNT07-read	
elman12a-VNT08-laugh	L  AE F IH NG
elman12a-VNT09-watch	HH  AE
elman12a-VNT10-give	K R T S
elman12a-VNT11-swim	
elman12a-VNT12-stir	
elman12a-VNT13-pinch	
elman12a-VNT14-crawl	AW
elman12a-VNT15-deliver	AW
elman12a-VNT16-pour	AH M  F AY AH
elman12a-VNT17-howl	EH HH AW HH AW
elman12a-VNT18-throw	HH AW
elman12a-VNT19-bite	HH AW S
elman12a-VNT20-shove	AH
elman12a-VNT21-tickle	
elman12a-VNT22-shave	SH EY V
elman14a-BNT01-house	HH OW M
elman14a-BNT02-comb	K OW M
elman14a-BNT03-toothbrush	T UW TH B  R AH SH
elman14a-BNT05-bench	B EH N CH
elman14a-BNT06-volcano	V AA CH IH N
elman14a-BNT07-canoe	K  AE N OW
elman14a-BNT08-beaver	M AW S
elman14a-BNT10-hammock	K  R AW L
elman14a-BNT14-sphinx	B EH N T
elman14a-VNT01-cut	AH K  T
elman14a-VNT02-bark	AW
elman14a-VNT03-put	K
elman14a-VNT04-send	
elman14a-VNT05-drive	D  R AY V IH NG
elman14a-VNT06-wash	W EH N AH
elman14a-VNT07-read	T
elman14a-VNT08-laugh	AE T T T  S
elman14a-VNT09-watch	K T
elman14a-VNT10-give	T
elman14a-VNT11-swim	T AA T
elman14a-VNT12-stir	K AH T T
elman14a-VNT13-pinch	K K T
elman14a-VNT14-crawl	
elman14a-VNT15-deliver	K AH T AH T
elman14a-VNT16-pour	AE AH AH
elman14a-VNT17-howl	HH AW S
elman14a-VNT18-throw	
elman14a-VNT19-bite	
elman14a-VNT20-shove	P T
elman14a-VNT21-tickle	
elman14a-VNT22-shave	
fridriksson02a-BNT01-house	AH HH AW
fridriksson02a-BNT02-comb	K  W IH
fridriksson02a-BNT03-toothbrush	T UW TH R AH SH
fridriksson02a-BNT04-octopus	AA S AH P UH S
fridriksson02a-BNT05-bench	B EH N CH
fridriksson02a-BNT06-volcano	B AA R  K  AE N OW
fridriksson02a-BNT07-canoe	K AH N UW
fridriksson02a-BNT08-beaver	B IY V ER
fridriksson02a-BNT09-cactus	K  AE K  T AH S
fridriksson02a-BNT10-hammock	HH  AE M AH N
fridriksson02a-BNT11-stethoscope	S  T EH TH AH  V OW
fridriksson02a-BNT12-unicorn	Y UW N IH K AO R  N
fridriksson02a-BNT14-sphinx	M  AE R  IH N
fridriksson02a-BNT15-palette	P EY N  T  B  R AH SH IH Z
fridriksson02a-VNT01-cut	T ER IH N
fridriksson02a-VNT02-bark	W AH P
fridriksson02a-VNT03-put	L IH V ER D IH N
fridriksson02a-VNT04-send	M EY L IH
fridriksson02a-VNT05-drive	D  R AY V IH N
fridriksson02a-VNT06-wash	W AA SH IH NG
fridriksson02a-VNT07-read	
fridriksson02a-VNT08-laugh	HH  AE P  D AW N
fridriksson02a-VNT09-watch	L UH K IH N
fridriksson02a-VNT10-give	D AH L IH B ER D IH N
fridriksson02a-VNT11-swim	S  W IH M IH NG
fridriksson02a-VNT12-stir	S ER IH N
fridriksson02a-VNT13-pinch	P IH SH
fridriksson02a-VNT14-crawl	K  R AO L IH N
fridriksson02a-VNT15-deliver	F AA N IH M IH N IY
fridriksson02a-VNT16-pour	DH AH B AA R
fridriksson02a-VNT17-howl	HH AW L IH N
fridriksson02a-VNT18-throw	TH R L IH N IH T
fridriksson02a-VNT19-bite	T UW TH K  R AO L
fridriksson02a-VNT20-shove	S  W M
fridriksson02a-VNT21-tickle	P IH K AH L AH N
fridriksson02a-VNT22-shave	SH IY V ER
fridriksson06a-BNT01-house	HH AW S
fridriksson06a-BNT02-comb	K OW M
fridriksson06a-BNT03-toothbrush	T  R IH M
fridriksson06a-BNT04-octopus	T  R AO M
fridriksson06a-BNT05-bench	B P IH N CH
fridriksson06a-BNT06-volcano	P  R IH NG K IH
fridriksson06a-BNT07-canoe	K AH HH UW N
fridriksson06a-BNT08-beaver	P AA R  K AH
fridriksson06a-BNT09-cactus	P AA K AH S
fridriksson06a-BNT10-hammock	AH HH  AE
fridriksson06a-BNT11-stethoscope	AH CH EH S  T
fridriksson06a-BNT12-unicorn	W EH
fridriksson06a-BNT14-sphinx	IH T
fridriksson06a-BNT15-palette	M UW N NG K AA R
fridriksson06a-VNT01-cut	SH IH V IH Z SH IH V IH Z
fridriksson06a-VNT02-bark	B AY  T AH
fridriksson06a-VNT03-put	T
fridriksson06a-VNT04-send	P OW S IH NG
fridriksson06a-VNT05-drive	
fridriksson06a-VNT06-wash	AH K K AH T
fridriksson06a-VNT07-read	
fridriksson06a-VNT08-laugh	R AA F IH NG
fridriksson06a-VNT09-watch	D AH L IH D AH L IH
fridriksson06a-VNT10-give	
fridriksson06a-VNT11-swim	
fridriksson06a-VNT12-stir	
fridriksson06a-VNT13-pinch	P IH N  CH AH
fridriksson06a-VNT14-crawl	W UH K IH N
fridriksson06a-VNT15-deliver	
fridriksson06a-VNT16-pour	
fridriksson06a-VNT17-howl	L IH K IH NG K IH S
fridriksson06a-VNT18-throw	
fridriksson06a-VNT19-bite	B AY T
fridriksson06a-VNT20-shove	K
fridriksson06a-VNT21-tickle	
fridriksson06a-VNT22-shave	
fridriksson09a-BNT01-house	HH AW S
fridriksson09a-BNT02-comb	K OW M
fridriksson09a-BNT03-toothbrush	T UW TH B  R AH CH
fridriksson09a-BNT04-octopus	AA K  T AH B OW S
fridriksson09a-BNT05-bench	L OW F
fridriksson09a-BNT06-volcano	F  R AA L NG K IH N OW
fridriksson09a-BNT07-canoe	K OW M
fridriksson09a-BNT08-beaver	B IY V ER
fridriksson09a-BNT09-cactus	K AH CH ER
fridriksson09a-BNT10-hammock	AY M UW N
fridriksson09a-BNT11-stethoscope	AH P B AA R  K
fridriksson09a-BNT13-tripod	T  R AH M  P AA D
fridriksson09a-BNT14-sphinx	P IY N  T AH T S
fridriksson09a-BNT15-palette	P  R IY D IH NG
fridriksson09a-VNT01-cut	S IH D IH S
fridriksson09a-VNT02-bark	
fridriksson09a-VNT03-put	K AH
fridriksson09a-VNT04-send	M EY B IY NG
fridriksson09a-VNT05-drive	T
fridriksson09a-VNT06-wash	K K OW N
fridriksson09a-VNT07-read	R AY D IH NG
fridriksson09a-VNT08-laugh	L  AE F IH NG
fridriksson09a-VNT09-watch	AH
fridriksson09a-VNT10-give	AH M
fridriksson09a-VNT11-swim	T  R IH M IH N
fridriksson09a-VNT12-stir	K  R AY OW
fridriksson09a-VNT13-pinch	T AH P AH Z AH M
fridriksson09a-VNT14-crawl	K AA L IH NG
fridriksson09a-VNT15-deliver	
fridriksson09a-VNT16-pour	OW M
fridriksson09a-VNT17-howl	AA R  IH NG
fridriksson09a-VNT18-throw	S  T AA F  T IH NG
fridriksson09a-VNT19-bite	B AY DX IH NG
fridriksson09a-VNT20-shove	S  P AY K
fridriksson09a-VNT21-tickle	K IH K AH N IH NG
fridriksson09a-VNT22-shave	CH EY V IH NG
kansas09a-BNT01-house	HH AW S
kansas09a-BNT02-comb	T  R OW M
kansas09a-BNT03-toothbrush	T IY
kansas09a-BNT05-bench	B EH N CH
kansas09a-BNT06-volcano	L AY V ER AO
kansas09a-BNT11-stethoscope	S  EH K AH P
kansas09a-VNT01-cut	S  K OW P
kansas09a-VNT02-bark	T
